,rain,elevation,river
1992/10/02,0.9795213106361192,0.2719825931140407,0.8937667989248688
1992/10/03,0.6921797004991681,0.07577115064635863,0.9170613080762832
1992/10/04,0.39831050812747987,0.009471393830794829,0.7866376551900678
1992/10/05,0.5535645718674005,0.011903238192755664,0.71329834890567
1992/10/06,0.5741712530398054,0.012927172660949698,0.6759247408165877
1992/10/07,0.603097401766287,0.04620504287725585,0.6523742480481249
1992/10/08,0.4158453858953027,0.12492000511967234,0.6476385511327275
1992/10/09,0.39779854089338285,0.6621016254959683,0.6353513375143991
1992/10/10,0.8297708946627416,0.37629591706130805,0.6179444515551005
1992/10/11,0.53218993984385,0.5908101881479585,0.6545501087930372
1992/10/12,0.41418149238448737,0.5515167029310124,0.6585178548572891
1992/10/13,0.39741456546781007,0.5751951875079995,0.6454626903878152
1992/10/14,0.8348905670037118,0.6677332650710355,0.6599257647510559
1992/10/15,0.9692819659541789,0.6859081018814795,0.8796876999872009
1992/10/16,0.874696019454755,0.489440675796749,0.9160373736080891
1992/10/17,0.2326891078970946,0.3933188275950339,0.8700883143478817
1992/10/18,0.23281709970561884,0.1862280814027902,0.7660309740176628
1992/10/19,0.23294509151414308,0.06437987968769998,0.7168821195443492
1992/10/20,0.6467426084730578,0.06642774862408805,0.7013951107129144
1992/10/21,0.39690259823371304,0.09957762703186997,0.717778062204019
1992/10/22,0.41789325483169076,0.2236016894918725,0.6871880199667221
1992/10/23,0.5878663765519007,0.531677972609753,0.6804044541149367
1992/10/24,0.7406885959298605,0.667989248688084,0.6754127735824907
1992/10/25,0.9681300396774607,0.8261871240240625,0.9120696275438372
1992/10/26,0.8034045821067451,0.8601049532829899,0.874696019454755
1992/10/27,0.9727377447843338,0.7893254831690771,0.9819531549980801
1992/10/28,0.7527198259311404,0.7563035965698195,0.9081018814795853
1992/10/29,0.7611672852937412,0.7525918341226161,0.8819915525406374
1992/10/30,0.39613464738256754,0.4273646486624856,0.8347625751951875
1992/10/31,0.4799692819659542,0.21489824651222322,0.7757583514655062
1992/11/01,0.9051580698835274,0.23985664917445285,0.774606425188788
1992/11/02,0.5597081786765647,0.2800460770510687,0.8885191347753744
1992/11/03,0.22923332906693972,0.024830410853705364,0.7829258927428645
1992/11/04,0.5662357609113017,0.022142582874696018,0.7351849481633176
1992/11/05,0.22948931268398823,0.03110200947139383,0.7111224881607577
1992/11/06,0.6269038781517983,0.12197619352361448,0.6967874056060412
1992/11/07,0.22974529630103674,0.3427620632279534,0.6894918725201588
1992/11/08,0.6453346985792909,0.24152054268526815,0.6868040445411494
1992/11/09,0.930116472545757,0.351593498016127,0.8618968386023295
1992/11/10,0.6864200691155766,0.6729809292205299,0.8654806092410086
1992/11/11,0.417509279406118,0.7432484321003455,0.7936772046589018
1992/11/12,0.39600665557404324,0.7444003583770639,0.746448227313452
1992/11/13,0.230385255343658,0.7807500319979521,0.703698963266351
1992/11/14,0.907461922436964,0.5312939971841802,0.7086906437987969
1992/11/15,0.7968769998720082,0.5143990784589786,0.8738000767950851
1992/11/16,0.8018686804044541,0.3841034173812876,0.8915909381799565
1992/11/17,0.48598489696659414,0.27940611800844745,0.8351465506207603
1992/11/18,0.4711378471777806,0.1528222193779598,0.7680788429540509
1992/11/19,0.4877767822859337,0.4551388711122488,0.7383847433764239
1992/11/20,0.3970305900422373,0.43517214898246515,0.7163701523102521
1992/11/21,0.8803276590298221,0.5373096121848202,0.7767822859337002
1992/11/22,0.8599769614744657,0.5620120312300013,0.8732881095609881
1992/11/23,0.4703698963266351,0.5568923588890311,0.8388583130679637
1992/11/24,0.90643798796877,0.8458978625367977,0.8107001151926276
1992/11/25,0.6073211314475874,0.8840394214770255,0.8960706514783053
1992/11/26,0.6089850249584027,0.8809676180724434,0.805836426468706
1992/11/27,0.7054908485856906,0.40419813131959553,0.769102777422245
1992/11/28,0.237424804812492,0.6183284269806733,0.7593753999744016
1992/11/29,0.9081018814795853,0.19390758991424548,0.750031997952131
1992/11/30,0.9818251631895558,0.4442595673876872,0.9895046717010111
1992/12/01,0.9558428260591322,0.12210418533213874,0.9736336874440036
1992/12/02,0.9540509407397927,0.27492640471009855,0.9957762703186996
1992/12/03,0.5438371944195571,0.15371816203762959,0.9509791373352106
1992/12/04,0.4835530526046333,0.1278638167157302,0.8769998720081915
1992/12/05,0.4016382951491105,0.1407909893766799,0.8283629847689747
1992/12/06,0.9851529502111864,0.16498144118776398,0.951235120952259
1992/12/07,0.7859976961474465,0.3092282093945987,0.9834890567003711
1992/12/08,0.4841930116472546,0.4177652630231665,0.9142454882887495
1992/12/09,0.48508895430692434,0.4088058364264687,0.8528094201971074
1992/12/10,0.583514655062076,0.4233969025982337,0.8160757711506463
1992/12/11,0.8695763471137847,0.8141558940227825,0.8854473313707922
1992/12/12,0.2365288621528222,0.8023806476385511,0.8634327403046205
1992/12/13,0.23640087034429796,0.5598361704850889,0.8068603609369001
1992/12/14,0.23627287853577372,0.655958018686804,0.7744784333802637
1992/12/15,0.41200563163957504,0.5474209650582362,0.7588634327403047
1992/12/16,0.5254063739920645,0.4332522718546013,0.7424804812492001
1992/12/17,0.8869832330730834,0.1320875463970306,0.720337898374504
1992/12/18,0.9784973761679252,0.5310380135671317,0.9880967618072444
